0.0000,0.7885,0.8115,0.4488
0.2000,0.7352,1.9013,0.1029
0.2000,0.8461,0.6086,0.3901
0.6000,1.1875,1.7614,0.9886
0.8000,0.9492,0.7840,0.1331
0.6000,1.0262,1.7295,0.1143
0.2000,0.9331,0.7155,0.4312
0.8000,1.1984,1.7383,0.5072
0.8000,1.4167,0.7427,0.0988
0.4000,1.1673,1.5737,0.9408
0.8000,0.8707,0.6742,0.2443
0.0000,0.9492,1.8315,0.9121
0.4000,1.0382,0.7158,0.0158
0.2000,1.1530,1.7671,0.6236
0.4000,1.3382,0.6946,0.3821
0.6000,1.0070,1.6569,0.4071
0.6000,0.9032,0.9550,0.1096
0.4000,1.1119,1.7190,0.9080
0.8000,1.4031,0.7350,0.3521
0.6000,0.5232,1.5545,0.2025
0.0000,0.8679,0.7621,0.3693
0.6000,1.7711,1.6178,0.7376
0.4000,0.6957,0.7109,0.4456
0.8000,1.5490,1.9374,0.3299
0.4000,0.7418,0.6981,0.3178
0.0000,1.3099,1.9067,0.0339
0.8000,1.1580,0.8164,0.9524
0.4000,0.8504,1.7079,0.6043
0.2000,1.0877,0.5883,0.0183
0.0000,1.2502,1.5844,0.7001
0.4000,1.0886,0.7290,0.8883
0.8000,1.0369,1.8488,0.1487
0.2000,0.8493,0.7657,0.7103
0.6000,0.7099,1.7442,0.0690
0.4000,0.8226,0.9517,0.2264
0.6000,1.3318,1.7051,0.8613
0.0000,0.6666,0.6488,0.9802
0.8000,1.1743,1.7132,0.1055
0.2000,0.7173,0.9315,0.4993
0.8000,1.4180,1.8056,0.8031
0.2000,1.0587,0.8460,0.5760
0.0000,1.0710,1.6918,0.7749
0.4000,1.2847,0.6882,0.0439
0.0000,1.2885,1.5733,0.7136
0.2000,1.3874,0.7861,0.6397
0.6000,1.1480,1.8110,0.6015
0.4000,0.6751,0.7446,0.2172
0.2000,0.8764,1.6195,0.2220
0.2000,1.1165,0.6809,0.2726
0.0000,0.8185,1.7947,0.3187
